Step,Name,Mass,Density,Temperature,Pressure,Volume,Crystallized_frac,y_bottom,y_top
8,Total solids,0.68,3.29,1130,3,0.206686930091185,0.0815347721822542,0,0
8,System,104.61,2.47,1130,3,42.3522267206478,0.0815347721822542,0,0
9,Liquid,88.3,2.38,1120,3,37.1008403361345,0.3189448441247,0,88.0965994171663
9,olivine,13.68,3.26008771929825,1120,3,4.19620610789722,0.3189448441247,88.0965994171663,98.0605647939625
9,Total solids,2.66,3.22,1120,3,0.826086956521739,0.3189448441247,0,0
9,System,104.61,2.49,1120,3,42.0120481927711,0.3189448441247,0,0
9,clinopyroxene,2.63,3.22,1120,3,0.816770186335404,0.3189448441247,98.0605647939625,100
10,Liquid,85.16,2.37,1110,3,35.9324894514768,0.376498800959233,0,85.7153157351072
10,olivine,13.68,3.26,1110,3,4.19631901840491,0.376498800959233,85.7153157351072,95.7254434796247
10,Total solids,3.14,3.22,1110,3,0.975155279503106,0.376498800959233,0,0
10,System,104.61,2.5,1110,3,41.844,0.376498800959233,0,0
10,clinopyroxene,5.77,3.22,1110,3,1.79192546583851,0.376498800959233,95.7254434796247,100
11,Liquid,82.31,2.37,1100,3,34.7299578059072,0.341726618705036,0,83.4843726567985
11,olivine,13.68,3.26,1100,3,4.19631901840491,0.341726618705036,83.4843726567985,93.5715447367985
11,Total solids,2.85,3.23,1100,3,0.882352941176471,0.341726618705036,0,0
11,System,104.61,2.51,1100,3,41.6772908366534,0.341726618705036,0,0
11,clinopyroxene,8.62,3.22330626450116,1100,3,2.6742727164755,0.341726618705036,93.5715447367985,100
12,Liquid,79.72,2.36,1090,3,33.7796610169492,0.311750599520384,0,81.5005169839229
12,olivine,13.68,3.26,1090,3,4.19631901840491,0.311750599520384,81.5005169839229,91.6250167312077
12,Total solids,2.6,3.24,1090,3,0.802469135802469,0.311750599520384,0,0
12,System,104.61,2.52,1090,3,41.5119047619048,0.311750599520384,0,0
12,clinopyroxene,11.22,3.23231729055258,1090,3,3.4711938808711,0.311750599520384,91.6250167312077,100
13,Liquid,77.3,2.35,1080,3,32.8936170212766,0.290167865707434,0,79.6377813621779
13,olivine,13.68,3.26,1080,3,4.19631901840491,0.290167865707434,79.6377813621779,89.7973675304463
13,Total solids,2.42,3.26,1080,3,0.742331288343558,0.290167865707434,0,0
13,System,104.61,2.53,1080,3,41.3478260869565,0.290167865707434,0,0
13,clinopyroxene,13.59,3.23175128771155,1080,3,4.20515033185715,0.290167865707434,89.7973675304463,99.978334935366
13,spinel,0.04,4.47,1080,3,0.00894854586129754,0.290167865707434,99.978334935366,100
14,Liquid,75.09,2.34,1070,3,32.0897435897436,0.266187050359712,0,77.9458377658845
14,olivine,13.68,3.27,1070,3,4.18348623853211,0.266187050359712,77.9458377658845,88.1075063604773
14,Total solids,2.22,3.26,1070,3,0.680981595092025,0.266187050359712,0,0
14,System,104.61,2.54,1070,3,41.1850393700787,0.266187050359712,0,0
14,clinopyroxene,15.77,3.23276474318326,1070,3,4.87817742792861,0.266187050359712,88.1075063604773,99.9565766195507
14,spinel,0.08,4.475,1070,3,0.017877094972067,0.266187050359712,99.9565766195507,100
15,Liquid,73.06,2.33,1060,3,31.3562231759657,0.243405275779376,0,76.3985509570282
15,olivine,13.68,3.27,1060,3,4.18348623853211,0.243405275779376,76.3985509570282,86.5914968605866
15,Total solids,2.03,3.27,1060,3,0.620795107033639,0.243405275779376,0,0
15,System,104.62,2.55,1060,3,41.0274509803922,0.243405275779376,0,0
15,clinopyroxene,17.75,3.24112112676056,1060,3,5.476500046063,0.243405275779376,86.5914968605866,99.9348343374039
15,spinel,0.12,4.48666666666667,1060,3,0.0267459138187221,0.243405275779376,99.9348343374039,100
16,Liquid,71.19,2.33,1050,3,30.5536480686695,0.224220623501199,0,74.8578780654195
16,olivine,13.68,3.27,1050,3,4.18348623853211,0.224220623501199,74.8578780654195,85.1076165591192
16,Total solids,1.87,3.28,1050,3,0.570121951219512,0.224220623501199,0,0
